,Tp,Cl,pH,Redox,Leit,Trueb,Cl_2,Fm,Fm_2,label
43,6.5,0.17,8.39,748.0,211.0,0.01,0.118,1550.0,699.0,0
44,6.5,0.17,8.39,749.0,211.0,0.01,0.114,1590.0,690.0,0
45,6.5,0.17,8.39,748.0,211.0,0.01,0.116,1590.0,695.0,0
46,6.5,0.17,8.39,748.0,211.0,0.01,0.117,1575.0,695.0,0
47,6.5,0.17,8.39,749.0,207.0,0.01,0.116,1609.0,688.0,0
48,6.6,0.17,8.39,749.0,207.0,0.011,0.116,1601.0,696.0,0
49,6.5,0.17,8.39,747.0,207.0,0.011,0.117,1653.0,699.0,0
50,6.5,0.17,8.39,749.0,207.0,0.01,0.117,1663.0,694.0,0
51,6.5,0.17,8.39,749.0,207.0,0.01,0.114,1659.0,693.0,0
52,6.5,0.17,8.39,749.0,207.0,0.01,0.117,1651.0,695.0,0
53,6.5,0.17,8.39,748.0,207.0,0.01,0.117,1638.0,699.0,0
54,6.5,0.17,8.38,748.0,207.0,0.01,0.118,1642.0,695.0,0
55,6.5,0.17,8.38,749.0,207.0,0.01,0.117,1604.0,696.0,0
56,6.6,0.17,8.38,748.0,205.0,0.01,0.118,1645.0,699.0,0
57,6.6,0.17,8.38,748.0,205.0,0.01,0.118,1626.0,696.0,0
58,6.5,0.17,8.37,749.0,207.0,0.011,0.117,1645.0,693.0,0
59,6.6,0.17,8.38,749.0,206.0,0.011,0.118,1715.0,694.0,0
60,6.6,0.17,8.37,749.0,205.0,0.011,0.118,1694.0,695.0,0
61,6.5,0.17,8.36,749.0,205.0,0.011,0.118,1732.0,696.0,0
62,6.5,0.17,8.36,749.0,207.0,0.011,0.118,1686.0,695.0,0
63,6.5,0.17,8.36,750.0,207.0,0.01,0.118,1649.0,694.0,0
64,6.5,0.17,8.36,749.0,207.0,0.011,0.118,1668.0,701.0,0
65,6.6,0.17,8.36,749.0,207.0,0.01,0.118,1656.0,690.0,0
66,6.6,0.17,8.36,749.0,207.0,0.011,0.117,1678.0,701.0,0
67,6.5,0.17,8.36,749.0,207.0,0.01,0.118,1663.0,694.0,0
68,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1671.0,693.0,0
69,6.5,0.17,8.35,749.0,207.0,0.011,0.118,1637.0,695.0,0
70,6.5,0.17,8.36,749.0,207.0,0.01,0.117,1616.0,688.0,0
71,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1609.0,689.0,0
72,6.6,0.17,8.35,749.0,207.0,0.01,0.118,1679.0,694.0,0
73,6.6,0.17,8.35,749.0,207.0,0.01,0.118,1650.0,689.0,0
74,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1677.0,689.0,0
75,6.6,0.17,8.35,750.0,207.0,0.01,0.118,1677.0,688.0,0
76,6.5,0.17,8.35,749.0,207.0,0.011,0.117,1688.0,690.0,0
77,6.6,0.16,8.35,750.0,207.0,0.011,0.116,1689.0,684.0,0
78,6.5,0.16,8.35,749.0,207.0,0.011,0.118,1660.0,696.0,0
79,6.5,0.16,8.35,750.0,207.0,0.011,0.116,1712.0,693.0,0
80,6.5,0.16,8.35,749.0,207.0,0.01,0.116,1685.0,693.0,0
81,6.5,0.16,8.35,750.0,207.0,0.01,0.116,1707.0,687.0,0
82,6.6,0.16,8.35,749.0,207.0,0.01,0.118,1718.0,689.0,0
83,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1684.0,687.0,0
84,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1682.0,690.0,0
85,6.5,0.17,8.35,749.0,207.0,0.01,0.114,1662.0,696.0,0
86,6.6,0.16,8.35,749.0,207.0,0.01,0.118,1680.0,690.0,0
87,6.5,0.17,8.36,749.0,207.0,0.01,0.118,1692.0,689.0,0
88,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1601.0,694.0,0
89,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1638.0,695.0,0
90,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1640.0,694.0,0
91,6.5,0.16,8.35,749.0,207.0,0.01,0.118,1599.0,700.0,0
92,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1625.0,693.0,0
93,6.6,0.17,8.35,749.0,207.0,0.016,0.118,1637.0,690.0,0
94,6.6,0.17,8.35,749.0,207.0,0.013,0.118,1640.0,693.0,0
95,6.5,0.17,8.35,749.0,207.0,0.011,0.118,1564.0,695.0,0
96,6.6,0.17,8.35,749.0,207.0,0.011,0.12,1503.0,695.0,0
97,6.5,0.17,8.35,749.0,207.0,0.01,0.118,1446.0,696.0,0
98,6.6,0.17,8.34,749.0,205.0,0.01,0.116,1483.0,687.0,0
99,6.5,0.17,8.35,749.0,205.0,0.011,0.118,1475.0,688.0,0
100,6.5,0.17,8.34,749.0,205.0,0.011,0.118,1489.0,689.0,0
101,6.5,0.17,8.34,749.0,207.0,0.011,0.118,1515.0,695.0,0
102,6.5,0.17,8.34,749.0,207.0,0.01,0.12,1452.0,694.0,0
103,6.5,0.17,8.34,749.0,207.0,0.01,0.118,1638.0,695.0,0
104,6.5,0.17,8.33,749.0,207.0,0.011,0.12,1593.0,693.0,0
105,6.5,0.17,8.34,749.0,207.0,0.01,0.118,1576.0,690.0,0
106,6.5,0.17,8.33,750.0,207.0,0.01,0.12,1552.0,695.0,0
107,6.5,0.17,8.33,750.0,207.0,0.01,0.117,1549.0,695.0,0
108,6.5,0.17,8.33,749.0,207.0,0.011,0.118,1446.0,694.0,0
109,6.5,0.16,8.32,749.0,207.0,0.011,0.118,1488.0,695.0,0
110,6.5,0.17,8.32,750.0,207.0,0.011,0.12,1446.0,696.0,0
111,6.6,0.16,8.32,751.0,207.0,0.011,0.118,1442.0,694.0,0
112,6.5,0.16,8.32,750.0,207.0,0.01,0.118,1472.0,695.0,0
113,6.5,0.16,8.32,750.0,207.0,0.01,0.118,1442.0,694.0,0
114,6.5,0.16,8.32,750.0,207.0,0.011,0.12,1439.0,689.0,0
115,6.5,0.16,8.32,749.0,207.0,0.01,0.118,1482.0,696.0,0
116,6.5,0.16,8.32,751.0,211.0,0.011,0.118,1494.0,693.0,0
117,6.5,0.16,8.32,749.0,207.0,0.011,0.118,1474.0,690.0,0
118,6.5,0.16,8.31,750.0,207.0,0.011,0.118,1504.0,690.0,0
119,6.5,0.16,8.32,749.0,207.0,0.011,0.118,1447.0,693.0,0
120,6.6,0.16,8.31,750.0,207.0,0.011,0.118,1425.0,693.0,0
121,6.5,0.16,8.31,749.0,207.0,0.011,0.118,1494.0,700.0,0
122,6.6,0.16,8.31,750.0,207.0,0.011,0.118,1407.0,689.0,0
123,6.6,0.16,8.31,749.0,207.0,0.011,0.118,1478.0,693.0,0
124,6.6,0.16,8.32,750.0,207.0,0.011,0.118,1486.0,694.0,0
125,6.5,0.16,8.32,749.0,207.0,0.011,0.118,1466.0,694.0,0
126,6.5,0.17,8.31,749.0,207.0,0.011,0.117,1518.0,693.0,0
127,6.5,0.17,8.31,750.0,207.0,0.011,0.116,1481.0,693.0,0
128,6.5,0.17,8.31,749.0,207.0,0.011,0.118,1471.0,694.0,0
129,6.6,0.17,8.31,749.0,207.0,0.011,0.117,1443.0,696.0,0
130,6.5,0.16,8.32,749.0,207.0,0.011,0.116,1483.0,696.0,0
131,6.5,0.17,8.32,749.0,207.0,0.011,0.118,1486.0,695.0,0
132,6.5,0.17,8.32,749.0,207.0,0.011,0.118,1474.0,696.0,0
133,6.6,0.17,8.32,749.0,207.0,0.011,0.117,1634.0,694.0,0
134,6.6,0.17,8.32,749.0,207.0,0.011,0.116,1518.0,679.0,0
135,6.6,0.17,8.32,749.0,207.0,0.011,0.117,1552.0,685.0,0
136,6.6,0.17,8.33,749.0,207.0,0.011,0.117,1556.0,687.0,0
137,6.6,0.17,8.33,749.0,207.0,0.011,0.117,1506.0,687.0,0
138,6.6,0.17,8.33,748.0,207.0,0.011,0.117,1442.0,682.0,0
139,6.5,0.17,8.33,749.0,207.0,0.011,0.114,1464.0,684.0,0
140,6.5,0.17,8.34,749.0,207.0,0.01,0.114,1518.0,684.0,0
141,6.5,0.17,8.34,749.0,207.0,0.01,0.114,1440.0,682.0,0
142,6.5,0.17,8.35,748.0,207.0,0.01,0.114,1476.0,687.0,0
143,6.5,0.16,8.35,749.0,207.0,0.01,0.114,1505.0,684.0,0
144,6.5,0.16,8.36,748.0,207.0,0.01,0.116,1471.0,679.0,0
145,6.5,0.16,8.36,748.0,207.0,0.01,0.114,1517.0,682.0,0
146,6.5,0.16,8.36,747.0,207.0,0.01,0.114,1476.0,685.0,0
147,6.5,0.16,8.36,748.0,207.0,0.01,0.116,1510.0,681.0,0
148,6.6,0.16,8.37,748.0,207.0,0.01,0.114,1540.0,681.0,0
149,6.6,0.16,8.37,748.0,207.0,0.01,0.114,1521.0,681.0,0
150,6.5,0.16,8.37,747.0,207.0,0.01,0.114,1510.0,688.0,0
151,6.6,0.16,8.37,748.0,207.0,0.01,0.114,1538.0,684.0,0
152,6.5,0.16,8.37,748.0,207.0,0.01,0.114,1538.0,687.0,0
153,6.5,0.16,8.37,747.0,207.0,0.01,0.113,1497.0,679.0,0
154,6.5,0.16,8.38,748.0,207.0,0.01,0.113,1540.0,679.0,0
155,6.5,0.16,8.37,747.0,207.0,0.01,0.113,1476.0,684.0,0
156,6.5,0.16,8.38,748.0,207.0,0.01,0.114,1474.0,684.0,0
157,6.5,0.16,8.38,748.0,207.0,0.01,0.113,1481.0,690.0,0
158,6.5,0.16,8.38,747.0,207.0,0.01,0.113,1481.0,688.0,0
159,6.5,0.16,8.37,747.0,207.0,0.01,0.113,1518.0,687.0,0
160,6.5,0.16,8.38,747.0,207.0,0.01,0.114,1518.0,684.0,0
161,6.5,0.16,8.38,747.0,207.0,0.01,0.114,1468.0,685.0,0
162,6.6,0.16,8.38,748.0,207.0,0.01,0.113,1475.0,684.0,0
163,6.5,0.16,8.38,748.0,207.0,0.01,0.111,1475.0,685.0,0
164,6.5,0.16,8.37,747.0,207.0,0.01,0.111,1454.0,682.0,0
165,6.5,0.17,8.37,748.0,207.0,0.01,0.113,1457.0,684.0,0
166,6.5,0.17,8.37,748.0,207.0,0.01,0.111,1495.0,682.0,0
167,6.6,0.17,8.37,747.0,207.0,0.01,0.113,1564.0,687.0,0
168,6.6,0.17,8.37,747.0,207.0,0.01,0.111,1546.0,682.0,0
169,6.6,0.18,8.36,748.0,203.0,0.01,0.113,1546.0,688.0,0
170,6.6,0.18,8.37,748.0,207.0,0.01,0.113,1422.0,679.0,0
171,6.6,0.18,8.36,748.0,207.0,0.01,0.111,1491.0,684.0,0
172,6.6,0.17,8.36,747.0,207.0,0.01,0.111,1518.0,688.0,0
173,6.6,0.18,8.36,748.0,203.0,0.01,0.113,1517.0,688.0,0
174,6.6,0.18,8.36,747.0,207.0,0.01,0.111,1480.0,688.0,0
175,6.6,0.18,8.35,747.0,203.0,0.01,0.114,1489.0,687.0,0
176,6.6,0.18,8.36,748.0,203.0,0.01,0.113,1428.0,681.0,0
177,6.6,0.17,8.36,748.0,203.0,0.01,0.113,1469.0,682.0,0
178,6.6,0.18,8.35,747.0,203.0,0.01,0.111,1478.0,685.0,0
179,6.6,0.18,8.35,748.0,203.0,0.01,0.113,1462.0,682.0,0
180,6.6,0.17,8.35,747.0,203.0,0.01,0.111,1493.0,677.0,0
181,6.6,0.18,8.35,748.0,203.0,0.01,0.111,1475.0,682.0,0
182,6.6,0.17,8.35,748.0,207.0,0.011,0.113,1475.0,684.0,0
183,6.6,0.17,8.34,749.0,203.0,0.01,0.111,1437.0,679.0,0
184,6.6,0.17,8.34,747.0,203.0,0.01,0.113,1494.0,679.0,0
185,6.6,0.17,8.34,748.0,203.0,0.01,0.111,1466.0,688.0,0
186,6.6,0.17,8.34,748.0,203.0,0.01,0.113,1458.0,681.0,0
187,6.6,0.17,8.33,748.0,207.0,0.01,0.111,1497.0,681.0,0
188,6.6,0.17,8.33,748.0,207.0,0.01,0.111,1481.0,684.0,0
189,6.6,0.17,8.33,748.0,207.0,0.01,0.111,1497.0,684.0,0
190,6.6,0.17,8.34,747.0,207.0,0.01,0.113,1475.0,682.0,0
191,6.6,0.17,8.34,748.0,203.0,0.01,0.113,1478.0,681.0,0
192,6.6,0.17,8.33,747.0,203.0,0.01,0.113,1471.0,684.0,0
193,6.6,0.19,8.34,748.0,207.0,0.01,0.111,1530.0,687.0,0
194,6.6,0.18,8.34,748.0,207.0,0.01,0.111,1541.0,687.0,0
195,6.6,0.19,8.34,747.0,203.0,0.01,0.111,1494.0,682.0,0
196,6.6,0.19,8.34,748.0,203.0,0.009,0.111,1489.0,685.0,0
197,6.6,0.19,8.34,748.0,203.0,0.01,0.111,1498.0,682.0,0
198,6.6,0.19,8.34,747.0,207.0,0.01,0.109,1488.0,688.0,0
199,6.6,0.17,8.34,747.0,207.0,0.01,0.111,1505.0,690.0,0
200,6.6,0.16,8.34,748.0,207.0,0.01,0.111,1445.0,687.0,0
201,6.6,0.17,8.34,748.0,203.0,0.01,0.111,1465.0,684.0,0
202,6.6,0.17,8.34,747.0,207.0,0.009,0.109,1457.0,684.0,0
203,6.6,0.18,8.34,747.0,207.0,0.01,0.111,1524.0,688.0,0
204,6.6,0.18,8.34,748.0,207.0,0.009,0.111,1466.0,688.0,0
205,6.6,0.17,8.34,747.0,207.0,0.009,0.111,1478.0,685.0,0
206,6.6,0.18,8.33,747.0,207.0,0.009,0.111,1510.0,685.0,0
207,6.6,0.18,8.34,747.0,207.0,0.01,0.111,1493.0,681.0,0
208,6.6,0.18,8.34,747.0,207.0,0.01,0.109,1483.0,684.0,0
209,6.6,0.18,8.34,747.0,207.0,0.01,0.111,1481.0,688.0,0
210,6.6,0.18,8.34,747.0,207.0,0.01,0.109,1480.0,679.0,0
211,6.6,0.18,8.33,747.0,207.0,0.01,0.111,1511.0,682.0,0
212,6.5,0.18,8.33,748.0,207.0,0.01,0.111,1480.0,677.0,0
213,6.5,0.18,8.33,748.0,207.0,0.01,0.109,1582.0,688.0,0
214,6.5,0.18,8.33,748.0,207.0,0.009,0.111,1557.0,688.0,0
215,6.5,0.18,8.32,747.0,207.0,0.01,0.111,1604.0,687.0,0
216,6.5,0.18,8.33,747.0,207.0,0.01,0.111,1593.0,681.0,0
217,6.5,0.17,8.32,747.0,207.0,0.01,0.108,1498.0,682.0,0
218,6.5,0.17,8.32,748.0,207.0,0.01,0.111,1534.0,682.0,0
219,6.5,0.17,8.32,748.0,207.0,0.01,0.111,1453.0,685.0,0
220,6.5,0.17,8.32,749.0,207.0,0.01,0.111,1489.0,684.0,0
221,6.6,0.17,8.31,748.0,207.0,0.009,0.111,1474.0,681.0,0
222,6.6,0.17,8.31,748.0,207.0,0.01,0.111,1515.0,682.0,0
223,6.6,0.17,8.31,747.0,207.0,0.01,0.111,1489.0,689.0,0
224,6.6,0.17,8.3,748.0,207.0,0.01,0.111,1464.0,685.0,0
225,6.6,0.16,8.3,747.0,207.0,0.01,0.111,1449.0,679.0,0
226,6.6,0.16,8.3,748.0,207.0,0.01,0.111,1481.0,678.0,0
227,6.6,0.16,8.3,747.0,207.0,0.01,0.111,1475.0,682.0,0
228,6.6,0.16,8.3,749.0,207.0,0.01,0.111,1454.0,688.0,0
229,6.6,0.16,8.3,748.0,207.0,0.01,0.111,1481.0,681.0,0
230,6.6,0.16,8.3,748.0,207.0,0.01,0.111,1449.0,681.0,0
231,6.6,0.16,8.29,748.0,207.0,0.01,0.111,1495.0,687.0,0
232,6.6,0.16,8.29,748.0,211.0,0.011,0.111,1466.0,682.0,0
233,6.6,0.16,8.29,748.0,211.0,0.011,0.111,1493.0,684.0,0
234,6.6,0.16,8.29,748.0,211.0,0.01,0.111,1429.0,684.0,0
235,6.6,0.16,8.28,748.0,211.0,0.01,0.111,1480.0,687.0,0
236,6.6,0.16,8.28,747.0,211.0,0.01,0.111,1435.0,687.0,0
237,6.6,0.16,8.28,748.0,207.0,0.01,0.111,1446.0,682.0,0
238,6.6,0.16,8.28,749.0,211.0,0.01,0.109,1530.0,685.0,0
239,6.6,0.16,8.28,748.0,211.0,0.01,0.111,1431.0,682.0,0
240,6.6,0.16,8.28,748.0,211.0,0.011,0.111,1489.0,682.0,0
241,6.6,0.16,8.28,748.0,211.0,0.011,0.109,1446.0,685.0,0
242,6.6,0.16,8.28,748.0,211.0,0.011,0.111,1458.0,689.0,0
243,6.6,0.16,8.28,748.0,211.0,0.011,0.109,1468.0,687.0,0
244,6.6,0.16,8.28,749.0,211.0,0.011,0.108,1417.0,682.0,0
245,6.6,0.16,8.28,748.0,211.0,0.012,0.109,1488.0,678.0,0
246,6.5,0.16,8.28,748.0,211.0,0.012,0.111,1486.0,681.0,0
247,6.6,0.17,8.28,748.0,211.0,0.012,0.109,1474.0,688.0,0
248,6.5,0.16,8.28,748.0,211.0,0.012,0.109,1497.0,681.0,0
249,6.5,0.17,8.28,747.0,211.0,0.012,0.111,1443.0,682.0,0
250,6.6,0.17,8.28,748.0,211.0,0.012,0.111,1464.0,678.0,0
251,6.5,0.17,8.28,748.0,211.0,0.012,0.111,1457.0,681.0,0
252,6.5,0.17,8.28,748.0,211.0,0.024,0.111,1446.0,684.0,0
253,6.5,0.17,8.28,748.0,211.0,0.1,0.111,1458.0,679.0,0
254,6.5,0.17,8.28,747.0,211.0,0.087,0.111,1481.0,685.0,0
255,6.5,0.17,8.27,749.0,211.0,0.02,0.111,1440.0,682.0,0
256,6.5,0.18,8.27,747.0,211.0,0.012,0.111,1449.0,681.0,0
257,6.5,0.18,8.26,748.0,211.0,0.012,0.111,1436.0,687.0,0
258,6.5,0.18,8.26,749.0,211.0,0.012,0.111,1468.0,685.0,0
259,6.5,0.18,8.26,748.0,211.0,0.012,0.113,1488.0,687.0,0
260,6.5,0.18,8.26,749.0,211.0,0.012,0.111,1431.0,681.0,0
261,6.5,0.18,8.26,748.0,211.0,0.011,0.113,1446.0,677.0,0
262,6.5,0.18,8.26,748.0,211.0,0.011,0.113,1447.0,681.0,0
263,6.5,0.18,8.26,749.0,211.0,0.011,0.111,1418.0,684.0,0
264,6.5,0.18,8.26,748.0,211.0,0.011,0.113,1417.0,673.0,0
265,6.5,0.18,8.26,749.0,211.0,0.011,0.111,1435.0,682.0,0
266,6.5,0.18,8.26,749.0,211.0,0.01,0.114,1314.0,684.0,0
267,6.5,0.18,8.24,749.0,211.0,0.01,0.114,1390.0,685.0,0
268,6.5,0.17,8.24,749.0,211.0,0.01,0.114,1373.0,688.0,0
269,6.5,0.17,8.24,749.0,211.0,0.01,0.114,1410.0,687.0,0
270,6.5,0.17,8.24,749.0,211.0,0.011,0.114,1510.0,682.0,0
271,6.5,0.17,8.24,749.0,211.0,0.011,0.114,1510.0,684.0,0
272,6.5,0.17,8.24,749.0,211.0,0.011,0.113,1465.0,682.0,0
273,6.5,0.17,8.24,749.0,211.0,0.011,0.114,1388.0,684.0,0
274,6.5,0.17,8.23,749.0,211.0,0.011,0.114,1333.0,687.0,0
275,6.5,0.17,8.23,749.0,211.0,0.011,0.114,1387.0,682.0,0
276,6.5,0.17,8.23,749.0,211.0,0.011,0.114,1390.0,688.0,0
277,6.5,0.17,8.23,749.0,211.0,0.011,0.114,1347.0,693.0,0
278,6.5,0.17,8.21,749.0,211.0,0.011,0.114,1408.0,687.0,0
279,6.5,0.17,8.2,750.0,211.0,0.011,0.114,1349.0,687.0,0
280,6.5,0.17,8.2,750.0,211.0,0.011,0.114,1443.0,694.0,0
281,6.5,0.16,8.19,749.0,211.0,0.011,0.116,1341.0,682.0,0
282,6.5,0.17,8.19,750.0,211.0,0.011,0.116,1387.0,699.0,0
283,6.5,0.17,8.18,750.0,211.0,0.012,0.117,1349.0,737.0,0
284,6.5,0.17,8.18,750.0,211.0,0.011,0.117,1377.0,746.0,0
285,6.5,0.17,8.18,750.0,211.0,0.011,0.116,1368.0,739.0,0
286,6.5,0.17,8.17,750.0,211.0,0.016,0.116,1372.0,743.0,0
287,6.5,0.17,8.17,751.0,211.0,0.012,0.117,1348.0,743.0,0
288,6.5,0.16,8.16,750.0,211.0,0.012,0.117,1387.0,743.0,0
289,6.5,0.17,8.15,751.0,211.0,0.012,0.116,1359.0,740.0,0
290,6.5,0.17,8.15,751.0,211.0,0.011,0.117,1364.0,741.0,0
291,6.5,0.16,8.14,751.0,211.0,0.011,0.118,1376.0,741.0,0
292,6.5,0.16,8.14,751.0,211.0,0.012,0.118,1371.0,740.0,0
293,6.5,0.16,8.14,751.0,211.0,0.012,0.116,1355.0,743.0,0
294,6.5,0.16,8.13,751.0,211.0,0.011,0.118,1405.0,739.0,0
295,6.5,0.16,8.13,751.0,211.0,0.011,0.118,1341.0,743.0,0
296,6.5,0.16,8.12,751.0,211.0,0.011,0.12,1372.0,734.0,0
297,6.5,0.16,8.13,751.0,211.0,0.011,0.117,1343.0,740.0,0
298,6.5,0.16,8.13,751.0,211.0,0.011,0.118,1385.0,745.0,0
299,6.5,0.16,8.12,751.0,211.0,0.011,0.118,1388.0,745.0,0
300,6.5,0.16,8.12,751.0,211.0,0.011,0.12,1383.0,741.0,0
301,6.5,0.16,8.12,751.0,211.0,0.011,0.118,1399.0,743.0,0
302,6.5,0.16,8.12,751.0,211.0,0.011,0.117,1394.0,751.0,0
303,6.5,0.16,8.12,751.0,211.0,0.011,0.118,1371.0,743.0,0
304,6.5,0.16,8.12,751.0,211.0,0.011,0.12,1378.0,741.0,0
305,6.5,0.16,8.12,751.0,211.0,0.01,0.118,1412.0,745.0,0
306,6.5,0.16,8.13,751.0,211.0,0.011,0.118,1413.0,747.0,0
307,6.5,0.16,8.13,751.0,211.0,0.011,0.118,1372.0,745.0,0
308,6.5,0.15,8.13,751.0,211.0,0.011,0.116,1368.0,736.0,0
309,6.5,0.16,8.14,750.0,211.0,0.011,0.117,1337.0,746.0,0
310,6.5,0.15,8.14,751.0,211.0,0.011,0.114,1371.0,741.0,0
311,6.5,0.15,8.15,750.0,211.0,0.018,0.117,1356.0,736.0,0
312,6.5,0.15,8.15,749.0,211.0,0.015,0.114,1378.0,740.0,0
313,6.5,0.15,8.16,750.0,211.0,0.011,0.116,1396.0,740.0,0
314,6.5,0.15,8.16,749.0,211.0,0.011,0.114,1371.0,746.0,0
315,6.5,0.15,8.17,750.0,211.0,0.011,0.114,1368.0,754.0,0
316,6.5,0.15,8.18,750.0,211.0,0.012,0.114,1372.0,751.0,0
317,6.5,0.15,8.18,749.0,211.0,0.012,0.114,1424.0,753.0,0
318,6.5,0.14,8.18,749.0,211.0,0.012,0.114,1428.0,748.0,0
319,6.5,0.15,8.19,749.0,211.0,0.012,0.113,1383.0,746.0,0
320,6.5,0.15,8.2,749.0,211.0,0.012,0.113,1354.0,739.0,0
321,6.5,0.15,8.2,749.0,211.0,0.012,0.113,1395.0,740.0,0
322,6.5,0.15,8.2,749.0,211.0,0.011,0.111,1355.0,739.0,0
323,6.5,0.15,8.21,749.0,211.0,0.011,0.111,1401.0,745.0,0
324,6.5,0.15,8.22,749.0,211.0,0.011,0.111,1362.0,739.0,0
325,6.5,0.15,8.23,749.0,211.0,0.012,0.111,1402.0,737.0,0
326,6.5,0.16,8.23,748.0,211.0,0.011,0.111,1388.0,741.0,0
327,6.5,0.16,8.23,749.0,211.0,0.011,0.111,1429.0,743.0,0
328,6.5,0.16,8.23,748.0,211.0,0.013,0.111,1373.0,740.0,0
329,6.5,0.16,8.24,747.0,211.0,0.011,0.111,1365.0,741.0,0
330,6.5,0.16,8.24,748.0,211.0,0.011,0.111,1390.0,746.0,0
331,6.5,0.16,8.24,748.0,211.0,0.011,0.111,1372.0,743.0,0
332,6.5,0.16,8.24,748.0,211.0,0.011,0.111,1384.0,743.0,0
333,6.5,0.16,8.24,748.0,211.0,0.011,0.111,1407.0,740.0,0
334,6.5,0.17,8.24,748.0,211.0,0.011,0.111,1353.0,737.0,0
335,6.5,0.16,8.24,748.0,211.0,0.011,0.111,1405.0,745.0,0
336,6.5,0.16,8.24,748.0,211.0,0.011,0.111,1410.0,745.0,0
337,6.5,0.16,8.24,747.0,211.0,0.011,0.111,1365.0,747.0,0
338,6.5,0.16,8.24,748.0,211.0,0.011,0.111,1372.0,745.0,0
